,title,author,num_reviews,num_ratings,avg_rating,num_pages,publish_year,first_published,series,genres,awards,places,url
10,The Dark Tower,Stephen King,6244,162250,4.23,1050,2006,2004,1,"Fantasy,Fiction,Horror",British Fantasy Award for Best Novel (2005),,https://www.goodreads.com/book/show/5091.The_Dark_Tower
11,Tower Lord,Anthony Ryan,1885,42793,4.17,602,2014,2014,1,"Fantasy,Fantasy > Epic Fantasy,Fiction",Goodreads Choice Award Nominee for Fantasy (2014),,https://www.goodreads.com/book/show/18138189-tower-lord
12,The Destroyer 2,Michael-Scott Earle,60,1722,4.11,449,2016,,1,"Fantasy,Fantasy > Magic,Adult",,,https://www.goodreads.com/book/show/29247884-the-destroyer-2
13,A Man and His God,Janet E. Morris,27,89,4.44,39,2012,1981,1,"Fantasy,Fantasy > Heroic Fantasy,Fantasy > Dark Fantasy",,,https://www.goodreads.com/book/show/15775130-a-man-and-his-god
14,Obernewtyn,Isobelle Carmody,787,11462,3.96,256,2003,1987,1,"Fantasy,Young Adult,Science Fiction > Dystopia",,,https://www.goodreads.com/book/show/47916.Obernewtyn
15,The Graveyard Book,Neil Gaiman,33717,480910,4.13,312,2008,,0,"Fantasy,Young Adult,Fiction","Hugo Award for Best Novel (2009), Newbery Medal (2009), Locus Award for Best Young Adult Novel (2009), World Fantasy Award Nominee for Best Novel (2009), Mythopoeic Fantasy Award Nominee for Children's Literature (2009) ...more","England,United Kingdom,Old Town",https://www.goodreads.com/book/show/2213661.The_Graveyard_Book
16,City of Stairs,Robert Jackson Bennett,3417,33820,4.04,452,2014,,1,"Fantasy,Fiction,Mystery","Locus Award Nominee for Best Fantasy Novel (2015), World Fantasy Award Nominee for Best Novel (2015), British Fantasy Award Nominee for Robert Holdstock Award (best fantasy novel) (2015), Goodreads Choice Award Nominee for Fantasy (2014)",,https://www.goodreads.com/book/show/20174424-city-of-stairs
17,The Battle for Skandia,John Flanagan,2131,84709,4.35,294,2008,2006,1,"Fantasy,Young Adult,Adventure",,,https://www.goodreads.com/book/show/144350.The_Battle_for_Skandia
18,Cursor's Fury,Jim Butcher,1523,66472,4.31,442,2006,,1,"Fantasy,Fiction,Fantasy > Epic Fantasy",,Alera,https://www.goodreads.com/book/show/29394.Cursor_s_Fury
19,Dragon Haven,Robin Hobb,1308,29453,4.1,508,2010,2010,1,"Fantasy,Fantasy > Dragons,Fiction",Goodreads Choice Award Nominee for Fantasy (2010),,https://www.goodreads.com/book/show/7011403-dragon-haven
20,The Assassin's Blade,Sarah J. Maas,16608,184740,4.34,448,2014,,1,"Fantasy,Young Adult,Romance",,"Erilea,Rifthold, Adarlan,Skull's Bay,,",https://www.goodreads.com/book/show/18243700-the-assassin-s-blade
21,The IX,Andrew P. Weston,74,463,3.45,596,2015,,1,"Science Fiction,Fantasy,Historical > Historical Fiction",,,https://www.goodreads.com/book/show/24689551-the-ix
